ID,Статус,Сообщение
60366337,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60349620,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60290893,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60347761,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60360393,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60360391,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60359480,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60356668,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60354526,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60330652,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60349063,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60336635,ответил,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60183051,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60333250,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60300829,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60325197,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60290696,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60167268,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60315367,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60307696,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60312857,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60312721,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60312455,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60269815,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
